Item,Qty.,Price (INR),Ext. (INR),Link
"AMS1117-3.3V, 1A, SOT-223 Voltage Regulator IC ",2,9,18,https://robu.in/product/ams1117-3-3v-1a-sot-223-voltage-regulator-ic-pack-of-5-ics/
"AMS1117-5.0V, 1A, SOT-223 Voltage Regulator IC ",2,6,12,https://robu.in/product/ams1117-5-0v-1a-sot-223-voltage-regulator-ic-pack-of-5-ics/
100uF 25V Electrolytic Capacitor ,3,4.18,12.54,https://robu.in/product/100uf-25v-electrolytic-capacitor-pack-of-10/
3mm Red DIP LED ,16,0.63,10.08,https://robu.in/product/3mm-red-dip-led-pack-of-50/
HY1H100M050110CD288-HYNCDZ-10uF 50V Aluminum Electrolytic,16,0.65,10.4,https://robu.in/product/hy1h100m050110cd288-hyncdz-10uf-50v-1-82%cf%89100khz-%c2%b120-120ma100khz-plugind5xl11mm-aluminum-electrolytic-capacitors-leaded-rohs/
ERS1HM220D12OT-AISHI -22uF 50V Aluminum Electrolytic,5,2,10,https://robu.in/product/ers1hm220d12ot-aishi-22uf-50v-%c2%b120-plugind5xl12mm-aluminum-electrolytic-capacitors-leaded-rohs/
2 Pin 5.08mm Pitch Plug-in Screw Terminal Block,3,7,21,https://robu.in/product/kf301-2-pin-5-08mm-pitch-plug-in-screw-terminal-block-connector-pack-of-5/
100nf 50v Disc Capacitor,10,1,10,https://robu.in/product/100nf-50v-disc-capacitor/
1k Ohm 0.25W Metal Film Resistor ,35,0.29,10.15,https://robu.in/product/1k-ohm-0-25w-metal-film-resistor-pack-of-100/
PCB Fabrication,5,188.6,943,lioncircuits.com
